Profile,Method,NumDUs,NumUEs,NumRBGs,NumTxAntennas,NumRxAntennas,MaxRankCfg,InnerMaxIter,PopulationSize,MaxEvaluations,Evaluations,RuntimeSeconds,BestScore,J_true,SumRate,MeanRate,MinRate,Rate5,Rate10,Jain,ActiveLinks,TotalPower,ActiveStreams,NumScheduledUE,Best_betaPF,Best_numConnections,Best_scheduleThreshold,Best_rhoLink,Best_rhoPower,Best_maxRank,Best_rankThreshold,Best_repairPower,Best_maxRepairLinks
quick,basic,4,6,3,4,2,2,12,8,32,1,0.5178356,217.349035618215,39.449332464184,39.449332464184,6.57488874403066,4.25486307568622,4.25486307568622,4.25486307568622,0.860557014428961,36,10,32,6,1.23,2,0.0001,0.00794328234724281,0.00108508434571002,2,0.1625,0.052,2
quick,inner,4,6,3,4,2,2,12,8,32,1,0.1875737,-24.7847403467733,48.023378970462,48.023378970462,8.00389649507699,2.38384501737838,2.38384501737838,2.38384501737838,0.642041298311935,23,6.49930174063275,32,6,1.23,2,0.0001,0.00794328234724281,0.00108508434571002,2,0.1625,0.052,2
quick,GA,4,6,3,4,2,2,12,8,32,32,13.6351939,573.76067135578,95.1936285566443,95.1936285566443,15.8656047594407,12.7129442587159,12.7129442587159,12.7129442587159,0.9786458949624,15,6.86125796031201,27,6,1.7405454303544,1,0.000942709955656056,0.00249873995258574,0.000854417504599055,2,0.252819503550021,0.0874620658157195,1
quick,PSO,4,6,3,4,2,2,12,8,32,32,8.4956213,290.305303920783,56.6245139350456,56.6245139350457,9.43741898917428,5.79237797089786,5.79237797089786,5.79237797089786,0.903726607391558,15,7.28702543928226,31,6,1.7415439806206,2,0.000450346101610081,0.0139783550155151,0.00356229188135368,2,0.313681694830387,0.0773030390591978,2
quick,GA+PSO,4,6,3,4,2,2,12,8,32,32,9.027822,308.450288968871,58.0495233107602,58.0495233107603,9.67492055179338,6.25063216293504,6.25063216293504,6.25063216293504,0.923290614353239,15,7.65315469791065,31,6,1.88450990302576,2,0.00142291733231406,0.00668175762544422,0.00577492191639244,2,0.257727201417504,0.100397312224011,3
quick,PSO+GA,4,6,3,4,2,2,12,8,32,32,5.5695927,318.486467741216,58.8480146710838,58.8480146710838,9.80800244518064,6.49339710223006,6.49339710223006,6.49339710223006,0.944442979665018,15,7.59497961958744,31,6,1.92188909109434,2,2.87672960513607e-05,0.00249873995258574,0.000854417504599055,2,0.265218744217357,0.0768753004599129,1
quick,PGSAO,4,6,3,4,2,2,12,8,32,32,5.80055,502.496237111757,96.3404784834071,96.3404784834071,16.0567464139012,10.6509762089988,10.6509762089988,10.6509762089988,0.969215514343297,15,7.09516886230985,18,6,0.947031052122884,1,0.000660385329338039,0.00463402655180478,0.000123668220709528,1,0.198885314638862,0.0563891868820824,2
standard,basic,8,16,4,8,2,2,25,12,72,1,0.0705055,463.379435386473,177.538494345921,177.538494345921,11.0961558966201,6.74905170800548,6.74905170800548,7.79877935956277,0.936845092263265,128,32,128,16,1.23,2,0.0001,0.00794328234724281,0.00108508434571002,2,0.1625,0.052,2
standard,inner,8,16,4,8,2,2,25,12,72,1,0.905828,237.481085650356,190.523487079109,190.523487079109,11.9077179424443,5.32224195149622,5.32224195149622,5.72121988658668,0.680385799650212,70,30.671549052429,128,16,1.23,2,0.0001,0.00794328234724281,0.00108508434571002,2,0.1625,0.052,2
standard,GA,8,16,4,8,2,2,25,12,72,72,143.0254955,808.95926605672,337.740414110981,337.740414110981,21.1087758819363,12.5872985408892,12.5872985408892,12.7321602138436,0.851576979293341,59,21.9024719737997,64,16,1.00328300125155,1,7.45872323288873e-06,0.0226081777887083,0.0189752803812446,1,0.399387422614309,0.0659254808540832,3
standard,PSO,8,16,4,8,2,2,25,12,72,72,140.4664931,869.707751287885,390.918139275121,390.918139275121,24.4323837046951,12.7216990264334,12.7216990264334,13.2091254512555,0.781979865483425,55,20.646962977311,120,16,1.26163785239303,1,0.000152518785204228,0.00545456786696877,0.00202010053101538,2,0.260755053986427,0.0523359749731019,3
standard,GA+PSO,8,16,4,8,2,2,25,12,72,72,89.5188376,797.885444782987,335.53613639808,335.536136398081,20.97100852488,12.127540248124,12.127540248124,12.6609351929973,0.834424676706036,57,20.7362881608999,64,16,0.977444717409626,1,3.49829008953657e-05,0.0308284127729246,0.02,1,0.400560511474694,0.07934063086296,3
standard,PSO+GA,8,16,4,8,2,2,25,12,72,72,107.3196545,847.481462750603,387.711761278925,387.711761278926,24.2319850799328,12.3776612585711,12.3776612585711,12.5342142048888,0.778452058656303,55,19.2447077013647,124,16,1.27932107330285,1,0.00019884374438895,0.00547015865506529,0.00466497300869384,2,0.221978068928946,0.0281624693671912,3
standard,PGSAO,8,16,4,8,2,2,25,12,72,72,101.7688608,853.721503832945,401.832970519501,401.832970519501,25.1145606574688,12.0329907348797,12.0329907348797,12.5207006571286,0.752401385394983,55,19.8472464847847,120,16,1.10756232613362,1,0.00435925116595864,0.00852053434478039,0.0149570266253157,2,0.261951115359547,0.0370457824804716,3
paper,basic,16,30,5,8,2,2,35,20,200,1,0.1658058,729.469039746838,441.247792332516,441.247792332516,14.7082597444172,7.41775921219984,8.15873180194021,8.63987225329255,0.651130675426034,300,71,299,30,1.23,2,0.0001,0.00794328234724281,0.00108508434571002,2,0.1625,0.052,2
paper,inner,16,30,5,8,2,2,35,20,200,1,4.6352469,192.907431598342,383.562058083619,383.562058083619,12.7854019361206,4.01355810959073,4.17516236444003,4.54078018280695,0.566976540433983,139,64.372549786158,299,30,1.23,2,0.0001,0.00794328234724281,0.00108508434571002,2,0.1625,0.052,2
paper,GA,16,30,5,8,2,2,35,20,200,200,645.4653462,1240.83808053175,816.146052148779,816.14605214878,27.2048684049593,8.99670082363132,13.0178091017842,13.9714208808549,0.672597923029612,120,42.3704276411237,276,30,1.14066568655237,1,0.000178798893624651,0.0022177540891799,0.000363198965622701,2,0.286291398344558,0.143423862732489,2
paper,PSO,16,30,5,8,2,2,35,20,200,200,675.9974748,1284.39699643407,757.280358910956,757.280358910955,25.2426786303652,12.2249474480713,13.7755689505298,16.240593573651,0.761496846296353,121,31.1646069124554,268,30,1.67640028936059,1,5.42077256961808e-05,0.001,0.0001,2,0.317729225128842,0.149682662071707,0
paper,GA+PSO,16,30,5,8,2,2,35,20,200,200,644.9909877,1248.37581245608,789.417129333099,789.417129333099,26.3139043111033,9.90762219104244,13.2277047254083,14.8442678791218,0.703395497713836,116,32.3579607906505,272,30,1.29683576720406,1,0.0001980103137648,0.00487936853776109,0.000359714881548357,2,0.303202284481267,0.130447975909786,2
paper,PSO+GA,16,30,5,8,2,2,35,20,200,200,767.0994054,1278.91024260923,771.088756550563,771.088756550563,25.7029585516854,12.1706471821695,14.3220657771898,15.4285114620632,0.740436658882512,123,35.9933508976125,283,30,1.49303550658103,1,7.99888223011481e-06,0.001,0.000239876732222488,2,0.2773691914594,0.122896605932209,0
paper,PGSAO,16,30,5,8,2,2,35,20,200,200,868.3467522,1264.44319629765,750.20023729625,750.20023729625,25.0066745765417,12.7871634621078,14.4781353221237,15.1885689519925,0.756774318536277,124,31.9432231011187,243,30,1.63207850186582,1,0.00408727484409201,0.00135974259002899,0.000221841456880176,2,0.412375235547457,0.126782946038715,1
m3,basic,7,100,100,12,2,2,35,20,200,1,3.9358482,8332.19461538556,7308.59912183152,7308.59912183149,73.0859912183149,43.0026614053944,45.1163899945343,48.4454982925779,0.680480069700985,20000,700.000000000001,20000,100,1.23,2,0.0001,0.00794328234724281,0.00108508434571002,2,0.1625,0.052,2
m3,inner,7,100,100,12,2,2,35,20,200,1,468.9197263,-1310.75658974254,2473.18810141697,2473.18810141696,24.7318810141696,3.36176874455827,5.06856007003923,5.98065096906865,0.165899712926506,534,218.664182835338,20000,100,1.23,2,0.0001,0.00794328234724281,0.00108508434571002,2,0.1625,0.052,2
m3,GA,7,100,100,12,2,2,2,8,8,8,1704.3664753,466.814626169366,2468.68529925895,2468.68529925894,24.6868529925894,9.3639422785603,10.6255162201176,11.322610151369,0.332078052865311,5567,36.9539882914729,18168,100,0.786187599035997,4,2.93842103617821e-06,0.0336628878442119,0.00715679324507044,2,0.489673058289213,0.0981485245145784,4
