Group,NumPoints,MinScale,MaxScale,MeanRuntimePerEvaluation,LinearSlope,LinearIntercept,LinearR2
edge_aware/nonrobust/basic,1,190512,190512,2.0869677,NaN,NaN,NaN
edge_aware/nonrobust/inner,1,190512,190512,2.8821393,NaN,NaN,NaN
edge_aware/nonrobust/GA,1,190512,190512,1.9907215,NaN,NaN,NaN
edge_aware/nonrobust/PSO,1,190512,190512,2.06819945,NaN,NaN,NaN
edge_aware/nonrobust/GA+PSO,1,190512,190512,1.85222935,NaN,NaN,NaN
edge_aware/nonrobust/PSO+GA,1,190512,190512,1.85968125,NaN,NaN,NaN
edge_aware/nonrobust/PGSAO,1,190512,190512,1.95387995,NaN,NaN,NaN
edge_aware/soft/basic,1,190512,190512,0.6845092,NaN,NaN,NaN
edge_aware/soft/inner,1,190512,190512,1.797775,NaN,NaN,NaN
edge_aware/soft/GA,1,190512,190512,1.658988,NaN,NaN,NaN
edge_aware/soft/PSO,1,190512,190512,1.7401683,NaN,NaN,NaN
edge_aware/soft/GA+PSO,1,190512,190512,1.8208262,NaN,NaN,NaN
edge_aware/soft/PSO+GA,1,190512,190512,1.6052197,NaN,NaN,NaN
edge_aware/soft/PGSAO,1,190512,190512,1.76718535,NaN,NaN,NaN
edge_aware/robust/basic,1,190512,190512,0.7221249,NaN,NaN,NaN
edge_aware/robust/inner,1,190512,190512,2.3792052,NaN,NaN,NaN
edge_aware/robust/GA,1,190512,190512,1.74700665,NaN,NaN,NaN
edge_aware/robust/PSO,1,190512,190512,1.76130335,NaN,NaN,NaN
edge_aware/robust/GA+PSO,1,190512,190512,1.6191876,NaN,NaN,NaN
edge_aware/robust/PSO+GA,1,190512,190512,1.83942565,NaN,NaN,NaN
edge_aware/robust/PGSAO,1,190512,190512,1.60956255,NaN,NaN,NaN
edge_aware/aggressive/basic,1,190512,190512,0.6918674,NaN,NaN,NaN
edge_aware/aggressive/inner,1,190512,190512,1.6952869,NaN,NaN,NaN
edge_aware/aggressive/GA,1,190512,190512,1.59865795,NaN,NaN,NaN
edge_aware/aggressive/PSO,1,190512,190512,1.59052835,NaN,NaN,NaN
edge_aware/aggressive/GA+PSO,1,190512,190512,1.6721385,NaN,NaN,NaN
edge_aware/aggressive/PSO+GA,1,190512,190512,1.6686527,NaN,NaN,NaN
edge_aware/aggressive/PGSAO,1,190512,190512,1.65062655,NaN,NaN,NaN
non_edge_aware/nonrobust/basic,1,190512,190512,0.7972869,NaN,NaN,NaN
non_edge_aware/nonrobust/inner,1,190512,190512,1.5007792,NaN,NaN,NaN
non_edge_aware/nonrobust/GA,1,190512,190512,1.6404548,NaN,NaN,NaN
non_edge_aware/nonrobust/PSO,1,190512,190512,1.5103641,NaN,NaN,NaN
non_edge_aware/nonrobust/GA+PSO,1,190512,190512,1.5367915,NaN,NaN,NaN
non_edge_aware/nonrobust/PSO+GA,1,190512,190512,1.5682953,NaN,NaN,NaN
non_edge_aware/nonrobust/PGSAO,1,190512,190512,1.55685085,NaN,NaN,NaN
non_edge_aware/soft/basic,1,190512,190512,0.7014068,NaN,NaN,NaN
non_edge_aware/soft/inner,1,190512,190512,1.5963397,NaN,NaN,NaN
non_edge_aware/soft/GA,1,190512,190512,1.6061601,NaN,NaN,NaN
non_edge_aware/soft/PSO,1,190512,190512,1.61717135,NaN,NaN,NaN
non_edge_aware/soft/GA+PSO,1,190512,190512,1.68855935,NaN,NaN,NaN
non_edge_aware/soft/PSO+GA,1,190512,190512,1.66393275,NaN,NaN,NaN
non_edge_aware/soft/PGSAO,1,190512,190512,1.60992985,NaN,NaN,NaN
non_edge_aware/robust/basic,1,190512,190512,0.6808005,NaN,NaN,NaN
non_edge_aware/robust/inner,1,190512,190512,1.6697381,NaN,NaN,NaN
non_edge_aware/robust/GA,1,190512,190512,1.6567216,NaN,NaN,NaN
non_edge_aware/robust/PSO,1,190512,190512,1.5988369,NaN,NaN,NaN
non_edge_aware/robust/GA+PSO,1,190512,190512,1.6035349,NaN,NaN,NaN
non_edge_aware/robust/PSO+GA,1,190512,190512,1.6968169,NaN,NaN,NaN
non_edge_aware/robust/PGSAO,1,190512,190512,1.6508067,NaN,NaN,NaN
non_edge_aware/aggressive/basic,1,190512,190512,0.7437145,NaN,NaN,NaN
non_edge_aware/aggressive/inner,1,190512,190512,1.8481841,NaN,NaN,NaN
non_edge_aware/aggressive/GA,1,190512,190512,1.66919745,NaN,NaN,NaN
non_edge_aware/aggressive/PSO,1,190512,190512,1.59033585,NaN,NaN,NaN
non_edge_aware/aggressive/GA+PSO,1,190512,190512,1.6153988,NaN,NaN,NaN
non_edge_aware/aggressive/PSO+GA,1,190512,190512,1.67589245,NaN,NaN,NaN
non_edge_aware/aggressive/PGSAO,1,190512,190512,1.67526645,NaN,NaN,NaN
