Scale,EdgeProfile,RobustProfile,Method,NumDUs,NumUEs,NumRBGs,NumTxAntennas,NumRxAntennas,InnerMaxIter,PopulationSize,MaxEvaluations,Evaluations,RuntimeSeconds,EstimatedObjective,EstimatedMeanExperienceRate,EstimatedEdgeExperienceRate5,TrueObjective,TrueMeanExperienceRate,TrueEdgeExperienceRate5,TrueMinExperienceRate,TrueRate5,TrueRate10,TrueJain,TotalPower,ActiveLinks,ActiveStreams,RuntimePerEvaluation,LinkScale,AntennaLinkScale,NumEdgeUsers,EdgeUserRatio,MeanEdgeExperienceRate,MeanNonEdgeExperienceRate,ActiveEdgeLinks,ActiveNonEdgeLinks,RobustEnabled,MeanErrorVariance,MeasuredFraction,ReferenceLabel,MeanExperienceLossPct,EdgeExperienceRatioToReference,PowerReductionPct
final,edge_aware,nonrobust,basic,21,315,16,64,4,1,1,1,1,7.341329,9792.68398138506,1.93348168491723,1.31743404591081,9621.75325398842,1.90241075455757,1.30662863700565,0,21.3572079106511,23.2831258739989,0.977108900220786,336,9776,5040,7.341329,105840,6773760,296,0.93968253968254,1.97530296161189,1.28195021641086,9472,304,0,0.370807105847817,1,edge_aware/nonrobust/inner,45.0681108536194,0.688493764031054,5.07530525542929e-14
final,edge_aware,nonrobust,inner,21,315,16,64,4,1,1,1,1,35.3690744,19861.3020623322,3.93193145830463,2.4417159050178,17499.5059240404,3.46321742091938,1.8978075115096,0,30.6731834012782,32.6120910473063,0.900652334690759,336,9776,5040,35.3690744,105840,6773760,296,0.93968253968254,3.98522069607156,3.10174122783042,9472,304,0,0.370807105847817,1,edge_aware/nonrobust/inner,0,1,0
final,edge_aware,soft,basic,21,315,16,64,4,1,1,1,1,9.3429542,9792.68398138506,1.93348168491723,1.31743404591081,9621.75325398842,1.90241075455757,1.30662863700565,0,21.3572079106511,23.2831258739989,0.977108900220786,336,9776,5040,9.3429542,105840,6773760,296,0.93968253968254,1.97530296161189,1.28195021641086,9472,304,1,0.370807105847817,1,edge_aware/soft/inner,45.4278849948207,0.694449790814938,5.07530525542929e-14
final,edge_aware,soft,inner,21,315,16,64,4,1,1,1,1,31.4670025,19947.2404697128,3.9495930066803,2.45784058346669,17611.9787381289,3.48604915601497,1.88153075180902,0,30.5716632491147,32.528818098687,0.897501568701045,336,9776,5040,31.4670025,105840,6773760,296,0.93968253968254,3.9961166629695,3.22480341396443,9472,304,1,0.370807105847817,1,edge_aware/soft/inner,0,1,0
final,edge_aware,robust,basic,21,315,16,64,4,1,1,1,1,32.755377,9792.68398138506,1.93348168491723,1.31743404591081,9621.75325398842,1.90241075455757,1.30662863700565,0,21.3572079106511,23.2831258739989,0.977108900220786,336,9776,5040,32.755377,105840,6773760,296,0.93968253968254,1.97530296161189,1.28195021641086,9472,304,1,0.370807105847817,1,edge_aware/robust/inner,45.6557476641315,0.693796341392239,5.07530525542929e-14
final,edge_aware,robust,inner,21,315,16,64,4,1,1,1,1,27.2142877,19978.2102290165,3.95634646884328,2.43924363984594,17682.7703059784,3.50066598174898,1.88330286432996,0,30.4033943644977,32.3176274929575,0.89486761464766,336,9776,5040,27.2142877,105840,6773760,296,0.93968253968254,3.99795680499653,3.30810123192938,9472,304,1,0.370807105847817,1,edge_aware/robust/inner,0,1,0
final,edge_aware,aggressive,basic,21,315,16,64,4,1,1,1,1,12.3567324,9792.68398138506,1.93348168491723,1.31743404591081,9621.75325398842,1.90241075455757,1.30662863700565,0,21.3572079106511,23.2831258739989,0.977108900220786,336,9776,5040,12.3567324,105840,6773760,296,0.93968253968254,1.97530296161189,1.28195021641086,9472,304,1,0.370807105847817,1,edge_aware/aggressive/inner,45.8272056322775,0.701560342989963,6.76707367390572e-14
final,edge_aware,aggressive,inner,21,315,16,64,4,1,1,1,1,27.9772385,19971.102887286,3.95545754551669,2.39646225387135,17735.4841937331,3.51174565898169,1.86246079907676,0,30.098324010353,32.0361889995666,0.893220138481813,336,9776,5040,27.9772385,105840,6773760,296,0.93968253968254,3.99542725443026,3.33277155402118,9472,304,1,0.370807105847817,1,edge_aware/aggressive/inner,0,1,0
final,non_edge_aware,nonrobust,basic,21,315,16,64,4,1,1,1,1,11.8332137,9905.01717548799,1.95888327766637,1.47950799484049,9735.26714443119,1.92745217847648,1.39885710418614,0,22.6224329892053,24.2222584744046,0.983587147175023,336,10080,5040,11.8332137,105840,6773760,296,0.93968253968254,1.9442805566407,2.18637829996105,9472,608,0,0.370807105847817,1,non_edge_aware/nonrobust/inner,45.8632706875403,0.779387339739851,5.07530525542929e-14
final,non_edge_aware,nonrobust,inner,21,315,16,64,4,1,1,1,1,33.7246652,20328.7908573074,4.02622316874475,2.42831103358677,17980.6251551131,3.56034101608142,1.79481630360209,0,29.8350432069624,32.310751743588,0.886800355052644,336,10080,5040,33.7246652,105840,6773760,296,0.93968253968254,3.90768731585859,5.8728869821292,9472,608,0,0.370807105847817,1,non_edge_aware/nonrobust/inner,0,1,0
