Scale,EdgeProfile,RobustProfile,Method,NumDUs,NumUEs,NumRBGs,NumTxAntennas,NumRxAntennas,InnerMaxIter,InnerIterations,InnerConverged,InnerStopReason,PopulationSize,MaxEvaluations,Evaluations,RuntimeSeconds,EstimatedObjective,EstimatedScore,EstimatedMeanExperienceRate,EstimatedEdgeExperienceRate5,TrueObjective,TrueMeanExperienceRate,TrueEdgeExperienceRate5,TrueMinExperienceRate,TrueRate5,TrueRate10,TrueJain,TotalPower,ActiveLinks,ActiveStreams,RuntimePerEvaluation,LinkScale,AntennaLinkScale,NumEdgeUsers,EdgeUserRatio,MeanEdgeExperienceRate,MeanNonEdgeExperienceRate,ActiveEdgeLinks,ActiveNonEdgeLinks,RobustEnabled,MeanErrorVariance,MeasuredFraction,ReferenceLabel,MeanExperienceLossPct,EdgeExperienceRatioToReference,PowerReductionPct
probe,edge_aware,nonrobust,basic,21,21,4,8,2,35,0,0,not_run,2,2,1,0.6005454,394.817854684081,910.185319823154,0,0,384.908960541096,0,0,0,13.2809179846704,14.6320910377287,0.968888737428302,83,168,168,0.6005454,1764,14112,21,1,0,NaN,168,0,0,0.373055304241882,1,edge_aware/nonrobust/inner,0,0,-11.5608624121051
probe,edge_aware,nonrobust,inner,21,21,4,8,2,35,35,0,max_iter,2,2,1,4.5563441,341.080676930002,115.335706243178,0,0,326.291935233926,0,0,0,6.42629642551872,6.99329672607628,0.807821833849323,74.398851179008,134,168,4.5563441,1764,14112,21,1,0,NaN,134,0,0,0.373055304241882,1,edge_aware/nonrobust/inner,0,0,0
probe,edge_aware,nonrobust,GA,21,21,4,8,2,35,35,0,max_iter,2,2,2,8.9446902,290.860981683367,256.006348168312,0,0,281.029514637372,0,0,0,8.76139643415185,9.73642960467299,0.956750337394629,51.771067006228,128,168,4.4723451,1764,14112,21,1,0,NaN,128,0,0,0.373055304241882,1,edge_aware/nonrobust/inner,0,0,30.4141580336184
probe,edge_aware,nonrobust,PSO,21,21,4,8,2,35,35,0,max_iter,2,2,2,6.8007045,290.860981683367,256.006348168312,0,0,281.029514637372,0,0,0,8.76139643415185,9.73642960467299,0.956750337394629,51.771067006228,128,168,3.40035225,1764,14112,21,1,0,NaN,128,0,0,0.373055304241882,1,edge_aware/nonrobust/inner,0,0,30.4141580336184
probe,edge_aware,nonrobust,GA+PSO,21,21,4,8,2,35,35,0,max_iter,2,2,2,6.854158,290.860981683367,256.006348168312,0,0,281.029514637372,0,0,0,8.76139643415185,9.73642960467299,0.956750337394629,51.771067006228,128,168,3.427079,1764,14112,21,1,0,NaN,128,0,0,0.373055304241882,1,edge_aware/nonrobust/inner,0,0,30.4141580336184
probe,edge_aware,nonrobust,PSO+GA,21,21,4,8,2,35,35,0,max_iter,2,2,2,6.9518251,290.860981683367,256.006348168312,0,0,281.029514637372,0,0,0,8.76139643415185,9.73642960467299,0.956750337394629,51.771067006228,128,168,3.47591255,1764,14112,21,1,0,NaN,128,0,0,0.373055304241882,1,edge_aware/nonrobust/inner,0,0,30.4141580336184
probe,edge_aware,nonrobust,PGSAO,21,21,4,8,2,35,35,0,max_iter,2,2,2,7.1413317,290.860981683367,256.006348168312,0,0,281.029514637372,0,0,0,8.76139643415185,9.73642960467299,0.956750337394629,51.771067006228,128,168,3.57066585,1764,14112,21,1,0,NaN,128,0,0,0.373055304241882,1,edge_aware/nonrobust/inner,0,0,30.4141580336184
probe,edge_aware,robust,basic,21,21,4,8,2,35,0,0,not_run,2,2,1,0.1386642,394.817854684081,910.185319823154,0,0,384.908960541096,0,0,0,13.2809179846704,14.6320910377287,0.968888737428302,83,168,168,0.1386642,1764,14112,21,1,0,NaN,168,0,1,0.373055304241882,1,edge_aware/robust/inner,0,0,-13.8816305211767
probe,edge_aware,robust,inner,21,21,4,8,2,35,35,0,max_iter,2,2,1,3.7618,343.874707070634,85.5533850714733,0,0,332.120866363462,0,0,0,7.34314521012427,7.90075594032779,0.795481785285547,72.8826937409944,136,168,3.7618,1764,14112,21,1,0,NaN,136,0,1,0.373055304241882,1,edge_aware/robust/inner,0,0,0
probe,edge_aware,robust,GA,21,21,4,8,2,35,35,0,max_iter,2,2,2,7.4372421,296.900101339955,-198.119824312275,0,0,290.855965288116,0,0,0,6.65002372523231,7.27386651041979,0.856409353116001,66.4333536620376,138,155,3.71862105,1764,14112,21,1,0,NaN,138,0,1,0.373055304241882,1,edge_aware/robust/inner,0,0,8.84893209611059
probe,edge_aware,robust,PSO,21,21,4,8,2,35,35,0,max_iter,2,2,2,7.5003559,296.900101339955,-198.119824312275,0,0,290.855965288116,0,0,0,6.65002372523231,7.27386651041979,0.856409353116001,66.4333536620376,138,155,3.75017795,1764,14112,21,1,0,NaN,138,0,1,0.373055304241882,1,edge_aware/robust/inner,0,0,8.84893209611059
probe,edge_aware,robust,GA+PSO,21,21,4,8,2,35,35,0,max_iter,2,2,2,8.6014511,296.900101339955,-198.119824312275,0,0,290.855965288116,0,0,0,6.65002372523231,7.27386651041979,0.856409353116001,66.4333536620376,138,155,4.30072555,1764,14112,21,1,0,NaN,138,0,1,0.373055304241882,1,edge_aware/robust/inner,0,0,8.84893209611059
probe,edge_aware,robust,PSO+GA,21,21,4,8,2,35,35,0,max_iter,2,2,2,7.6754399,296.900101339955,-198.119824312275,0,0,290.855965288116,0,0,0,6.65002372523231,7.27386651041979,0.856409353116001,66.4333536620376,138,155,3.83771995,1764,14112,21,1,0,NaN,138,0,1,0.373055304241882,1,edge_aware/robust/inner,0,0,8.84893209611059
probe,edge_aware,robust,PGSAO,21,21,4,8,2,35,35,0,max_iter,2,2,2,7.3489955,296.900101339955,-198.119824312275,0,0,290.855965288116,0,0,0,6.65002372523231,7.27386651041979,0.856409353116001,66.4333536620376,138,155,3.67449775,1764,14112,21,1,0,NaN,138,0,1,0.373055304241882,1,edge_aware/robust/inner,0,0,8.84893209611059
