Group,NumPoints,MinScale,MaxScale,MeanRuntimePerEvaluation,LinearSlope,LinearIntercept,LinearR2
edge_aware/nonrobust/basic,1,14112,14112,0.6005454,NaN,NaN,NaN
edge_aware/nonrobust/inner,1,14112,14112,4.5563441,NaN,NaN,NaN
edge_aware/nonrobust/GA,1,14112,14112,4.4723451,NaN,NaN,NaN
edge_aware/nonrobust/PSO,1,14112,14112,3.40035225,NaN,NaN,NaN
edge_aware/nonrobust/GA+PSO,1,14112,14112,3.427079,NaN,NaN,NaN
edge_aware/nonrobust/PSO+GA,1,14112,14112,3.47591255,NaN,NaN,NaN
edge_aware/nonrobust/PGSAO,1,14112,14112,3.57066585,NaN,NaN,NaN
edge_aware/robust/basic,1,14112,14112,0.1386642,NaN,NaN,NaN
edge_aware/robust/inner,1,14112,14112,3.7618,NaN,NaN,NaN
edge_aware/robust/GA,1,14112,14112,3.71862105,NaN,NaN,NaN
edge_aware/robust/PSO,1,14112,14112,3.75017795,NaN,NaN,NaN
edge_aware/robust/GA+PSO,1,14112,14112,4.30072555,NaN,NaN,NaN
edge_aware/robust/PSO+GA,1,14112,14112,3.83771995,NaN,NaN,NaN
edge_aware/robust/PGSAO,1,14112,14112,3.67449775,NaN,NaN,NaN
non_edge_aware/nonrobust/basic,1,14112,14112,0.0964379,NaN,NaN,NaN
non_edge_aware/nonrobust/inner,1,14112,14112,3.3166795,NaN,NaN,NaN
non_edge_aware/nonrobust/GA,1,14112,14112,3.3538727,NaN,NaN,NaN
non_edge_aware/nonrobust/PSO,1,14112,14112,3.4489444,NaN,NaN,NaN
non_edge_aware/nonrobust/GA+PSO,1,14112,14112,3.43488935,NaN,NaN,NaN
non_edge_aware/nonrobust/PSO+GA,1,14112,14112,3.37273605,NaN,NaN,NaN
non_edge_aware/nonrobust/PGSAO,1,14112,14112,3.2833623,NaN,NaN,NaN
non_edge_aware/robust/basic,1,14112,14112,0.0951354,NaN,NaN,NaN
non_edge_aware/robust/inner,1,14112,14112,3.7174955,NaN,NaN,NaN
non_edge_aware/robust/GA,1,14112,14112,3.79598075,NaN,NaN,NaN
non_edge_aware/robust/PSO,1,14112,14112,3.707508,NaN,NaN,NaN
non_edge_aware/robust/GA+PSO,1,14112,14112,3.89490525,NaN,NaN,NaN
non_edge_aware/robust/PSO+GA,1,14112,14112,4.04918415,NaN,NaN,NaN
non_edge_aware/robust/PGSAO,1,14112,14112,3.75982965,NaN,NaN,NaN
