Scale,RobustProfile,Method,NumDUs,NumUEs,NumRBGs,NumTxAntennas,NumRxAntennas,InnerMaxIter,Evaluations,RuntimeSeconds,EstimatedObjective,TrueObjective,TrueEdgeExperienceRate5,TrueMeanExperienceRate,TotalPower,ActiveLinks,Jain,RobustEnabled,UncertaintyPenalty,ChannelShrinkage,UnmeasuredPenalty,MeanErrorVariance,MeasuredFraction
probe,nonrobust,basic,21,21,4,8,2,1,1,0.4377894,394.817854684081,384.908960541096,0,0,83,168,0.973737289821801,0,2.5,0.75,1,0.373055304241882,1
probe,nonrobust,inner,21,21,4,8,2,1,1,0.3363487,676.153714205449,602.520285164562,0,0,83,168,0.913790531349622,0,2.5,0.75,1,0.373055304241882,1
probe,nonrobust,PSO+GA,21,21,4,8,2,1,2,0.565045,714.377601698724,639.712262768796,0,0,84,252,0.93150192261142,0,2.5,0.75,1,0.373055304241882,1
probe,default,basic,21,21,4,8,2,1,1,0.1604955,394.817854684081,384.908960541096,0,0,83,168,0.973737289821801,1,2.5,0.75,1,0.373055304241882,1
probe,default,inner,21,21,4,8,2,1,1,0.2026437,673.459249258926,608.284412997439,0,0,83,168,0.917075200858637,1,2.5,0.75,1,0.373055304241882,1
probe,default,PSO+GA,21,21,4,8,2,1,2,0.4384794,713.895122994953,651.207267473365,0,0,84,252,0.9196522502756,1,2.5,0.75,1,0.373055304241882,1
medium,nonrobust,basic,21,42,8,8,2,1,1,0.6613275,899.810115044554,880.581097804189,0,2.17906625012121,168,672,0.965473436842011,0,2.5,0.75,1,0.371312773095505,1
medium,nonrobust,inner,21,42,8,8,2,1,1,0.7863262,1371.35555967254,1293.69073805287,0,3.28973538490932,168,672,0.864056052782903,0,2.5,0.75,1,0.371312773095505,1
medium,nonrobust,PSO+GA,21,42,8,8,2,1,2,1.8700607,1531.03597507994,1444.31957043275,0,3.56803916215083,168,1008,0.88209724250223,0,2.5,0.75,1,0.371312773095505,1
medium,nonrobust,PGSAO,21,42,8,8,2,1,2,1.682954,1531.03597507994,1444.31957043275,0,3.56803916215083,168,1008,0.88209724250223,0,2.5,0.75,1,0.371312773095505,1
medium,soft,basic,21,42,8,8,2,1,1,0.4239861,899.810115044554,880.581097804189,0,2.17906625012121,168,672,0.965473436842011,1,1.25,0.45,0.5,0.371312773095505,1
medium,soft,inner,21,42,8,8,2,1,1,0.918773,1377.07694906768,1301.82002534174,0,3.30359720116269,168,672,0.856442313397174,1,1.25,0.45,0.5,0.371312773095505,1
