Metric,Baseline,Proposed,Change,ChangePercent
SumRate,7750.35178453272,7750.35178453272,0,0
MeanRate,77.5035178453272,77.5035178453272,0,0
MinRate,22.025824457776,22.025824457776,3.5527136788005e-15,1.61297647931914e-14
Rate5,27.7781319022424,27.7781319022424,0,0
Rate10,31.4475064597948,31.4475064597948,1.06581410364015e-14,3.38918478322845e-14
MeanExperienceRate,0.774917242929785,0.774917242929785,0,0
EdgeExperienceRate5,0.27792320666995,0.27792320666995,0,0
Jain,0.457628378444007,0.457628378444007,0,0
ActiveLinks,12600,12600,0,0
TotalPower,700.000000000004,700.000000000004,0,0
ActiveStreams,19993,19993,0,0
