Metric,Baseline,Proposed,Change,ChangePercent
SumRate,7750.35178453272,2881.39439426035,-4868.95739027236,-62.8224050421722
MeanRate,77.5035178453272,28.8139439426035,-48.6895739027236,-62.8224050421722
MinRate,22.025824457776,2.53632980773612,-19.4894946500399,-88.4847452017139
Rate5,27.7781319022424,3.92083640170784,-23.8572955005346,-85.8851688965041
Rate10,31.4475064597948,5.0916686764351,-26.3558377833597,-83.8089907606992
MeanExperienceRate,0.774917242929785,3.56313238117297,2.78821513824319,359.808116761163
EdgeExperienceRate5,0.27792320666995,1.28064420477194,1.00272099810199,360.790669522168
Jain,0.457628378444007,0.157086824696018,-0.300541553747989,-65.6737142853482
ActiveLinks,12600,728,-11872,-94.2222222222222
TotalPower,700.000000000004,229.091548223711,-470.908451776293,-67.2726359680414
ActiveStreams,19993,19993,0,0
